model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,period,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,29000,36.826204,1.9158594568580156e-06,11.816895484924316,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,30000,38.093941,1.2346661151241278e-06,11.808023452758789,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,31000,39.688333,8.514942919646273e-07,11.839241981506348,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,32000,41.244173,5.449564923765138e-07,11.804497718811035,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,33000,42.782581,3.746576737739815e-07,11.712075233459473,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,34000,44.269076,2.6396338626000215e-07,11.62160873413086,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,35000,45.895281,2.0435876990632096e-07,11.664013862609863,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,36000,47.474844,1.4475412513093033e-07,11.699411392211914,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,37000,49.210484,1.0217938495316048e-07,11.734259605407715,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,38000,50.760113,0.00041886421968229115,12.336480140686035,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,39000,51.965348,0.00012178010365460068,13.550702095031738,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,40000,53.203333,2.9971672120154835e-05,13.534915924072266,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,41000,54.415011,1.694444836175535e-05,13.388900756835938,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,42000,55.750801,9.919812328007538e-06,14.747790336608887,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,43000,56.977825,5.653894731949549e-06,15.097023963928223,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,44000,58.247217,3.465572035565856e-06,14.871993064880371,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,45000,59.518871,2.256456355098635e-06,15.068259239196777,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,46000,60.725259,1.4986288761065225e-06,14.8657865524292,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,47000,61.974864,1.0132779380001011e-06,14.420666694641113,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,48000,63.257774,6.726805850121309e-07,14.213957786560059,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,49000,64.527972,4.76836959251159e-07,13.959006309509277,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,50000,65.94529,3.2356800261368335e-07,13.864456176757812,1.0,0.0,1000,


