model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,period,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,31000,39.009796,3.840230874629924e-06,31.945253372192383,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,32000,40.184051,2.4948756163212238e-06,33.10129928588867,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,33000,41.382921,1.626353196115815e-06,34.2327766418457,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,34000,42.788976,1.1410022580093937e-06,34.91078186035156,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,35000,44.231077,8.089197649496782e-07,34.47297668457031,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,36000,45.628749,5.705014132217912e-07,34.11192321777344,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,37000,47.080939,4.512922373578476e-07,33.857059478759766,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,38000,48.444702,3.235680310353928e-07,34.244083404541016,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,39000,49.934988,2.5544846948832856e-07,32.62846374511719,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,40000,51.518004,2.0435876990632096e-07,30.766101837158203,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,41000,53.084427,1.617840155176964e-07,35.758487701416016,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,42000,54.327629,0.0016065005911514163,26.462190628051758,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,43000,55.534776,0.0003368692996446043,26.702838897705078,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,44000,56.775399,0.00016489623521920294,25.41718292236328,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,45000,57.981949,9.627448162063956e-05,25.51226806640625,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,46000,59.185711,5.969358971924521e-05,27.126256942749023,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,47000,60.371746,3.5973913327325135e-05,30.052610397338867,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,48000,61.57254,2.1601807020488195e-05,33.08084487915039,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,49000,62.781664,1.148651062976569e-05,34.15794372558594,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,50000,63.973132,7.416459993692115e-06,34.087955474853516,1.0,0.04545454680919647,1000,


